,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,text_clean,label_id,ESG_Label,Impact_Level_Code,ESG_Controversy,Year,Sentiment_Code
2832,2832,2832,2832,2832,2025-08-13,Banking stocks dip after a major scandal is revealed,The Economist,Regulatory Compliance Failure,Shanghai Composite,-1.7,195.69,Negative,Industrials,Medium,Bank of America,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,banking stocks dip after a major scandal is revealed,9,Governance,1,1,2025,-1.0
2833,2833,2833,2833,2833,2025-02-09,New IPO for a popular software firm is oversubscribed,The Motley Fool,Human Rights Allegation,TSX,,47.34,Positive,Technology,Medium,Chevron Corporation,https://www.forbes.com/finance/geopolitical-event-impact,new ipo for a popular software firm is oversubscribed,19,Social,1,1,2025,1.0
2834,2834,2834,2834,2834,2025-04-30,UK's FTSE 100 sees a boost from favorable trade data,Seeking Alpha,Regulatory Compliance Failure,IBOVESPA,2.26,17.89,Neutral,Agriculture,Low,Microsoft,https://www.business-standard.com/finance/corporate-earnings,uk's ftse 100 sees a boost from favorable trade data,12,Governance,0,0,2025,0.0
2835,2835,2835,2835,2835,2025-04-05,Automotive industry faces headwinds from rising material costs,Economic Times,Executive Misconduct,Nasdaq Composite,-2.55,99.7,Negative,Utilities,High,Ford Motor Company,https://www.wsj.com/europe/regulatory-changes,automotive industry faces headwinds from rising material costs,6,Governance,2,1,2025,-1.0
2836,2836,2836,2836,2836,2025-03-13,China's Shanghai Composite falls after new trade restrictions,Yahoo Finance,Antitrust Investigation,Nasdaq Composite,0.52,375.62,Negative,Real Estate,Medium,Lockheed Martin,https://economictimes.indiatimes.com/news/economy/unemployment-rate,china's shanghai composite falls after new trade restrictions,16,Governance,1,1,2025,-1.0
2837,2837,2837,2837,2837,2025-07-18,E-commerce earnings report beats all analyst expectations,Reuters,Labor Rights Violation,FTSE 100,-3.94,199.67,Neutral,Aerospace & Defense,Medium,Exxon Mobil,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,e commerce earnings report beats all analyst expectations,8,Social,1,1,2025,0.0
2838,2838,2838,2838,2838,2025-04-21,Bond yields tumble as investors seek safe havens,Forbes,Labor Rights Violation,Nasdaq Composite,1.75,244.51,Negative,Pharmaceuticals,High,Lockheed Martin,https://www.wsj.com/china/market-rally,bond yields tumble as investors seek safe havens,17,Social,2,1,2025,-1.0
2839,2839,2839,2839,2839,2025-07-17,Geopolitical ceasefire prompts a broad market recovery,Forbes,Antitrust Investigation,CAC 40,-1.06,172.24,Negative,Industrials,High,General Motors,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,geopolitical ceasefire prompts a broad market recovery,0,Governance,2,1,2025,-1.0
2840,2840,2840,2840,2840,2025-04-22,,Business Standard,Accounting Fraud Investigation,Russell 2000,-0.44,339.9,Negative,Utilities,High,Apple Inc.,https://www.bloomberg.com/canada/tsunami-warnings,,12,Governance,2,1,2025,-1.0
2841,2841,2841,2841,2841,2025-06-06,Market sentiment turns positive on vaccine trial results,Business Standard,Water Pollution Incident,Russell 2000,-0.29,14.32,Negative,Technology,High,JPMorgan Chase,https://www.investopedia.com/articles/supply-chain-disruption,market sentiment turns positive on vaccine trial results,2,Environmental,2,1,2025,-1.0
2842,2842,2842,2842,2842,2025-07-21,Energy company's dividend hike excites shareholders,Seeking Alpha,Executive Misconduct,S&P 500,-2.2,46.49,Negative,Consumer Goods,Low,Apple Inc.,https://www.ft.com/content/media-entertainment-merger,energy company's dividend hike excites shareholders,18,Governance,0,0,2025,-1.0
2843,2843,2843,2843,2843,2025-05-24,Mining company stock surges on commodity price boom,Wall Street Journal,Accounting Fraud Investigation,S&P/TSX Composite,4.72,233.38,Positive,Transportation,Low,Apple Inc.,https://www.business-standard.com/economy/inflation-data,mining company stock surges on commodity price boom,5,Governance,0,0,2025,1.0
2844,2844,2844,2844,2844,2025-03-29,Mining company stock surges on commodity price boom,Investopedia,Labor Rights Violation,IBOVESPA,-1.33,324.43,Negative,Construction,Low,Chevron Corporation,https://www.investopedia.com/articles/government-policy-announcement,mining company stock surges on commodity price boom,19,Social,0,0,2025,-1.0
2845,2845,2845,2845,2845,2025-04-01,New housing data release shows a slowdown in market activity,Business Standard,Regulatory Compliance Failure,DAX,,208.57,Neutral,Automotive,Medium,Chevron Corporation,https://www.ft.com/content/consumer-confidence-report,new housing data release shows a slowdown in market activity,18,Governance,1,1,2025,0.0
2846,2846,2846,2846,2846,2025-07-04,Media and Entertainment companies report a surge in streaming revenue,The Economist,Executive Misconduct,S&P 500,-4.2,252.03,Neutral,Aerospace & Defense,Medium,Lockheed Martin,https://www.forbes.com/crypto/cryptocurrency-regulation,media and entertainment companies report a surge in streaming revenue,6,Governance,1,1,2025,0.0
2847,2847,2847,2847,2847,2025-05-07,Financial sector bracing for new capital requirements,Investopedia,Climate Regulation Breach,BSE Sensex,4.33,468.48,Negative,Energy,Medium,Chevron Corporation,https://www.forbes.com/crypto/cryptocurrency-regulation,financial sector bracing for new capital requirements,2,Environmental,1,1,2025,-1.0
2848,2848,2848,2848,2848,2025-03-02,Consumer Discretionary stocks outperform as spending increases,Forbes,Accounting Fraud Investigation,KOSPI,4.93,154.8,Negative,Transportation,High,Lockheed Martin,https://www.moneycontrol.com/us-markets/nasdaq-composite,consumer discretionary stocks outperform as spending increases,15,Governance,2,1,2025,-1.0
2849,2849,2849,2849,2849,2025-06-15,Market braces for a major policy announcement from the EU,Bloomberg,Executive Misconduct,Hang Seng,2.53,355.07,Negative,Transportation,High,Intel,https://www.business-standard.com/economy/economic-stimulus,market braces for a major policy announcement from the eu,13,Governance,2,1,2025,-1.0
2850,2850,2850,2850,2850,2025-04-01,Energy company's dividend hike excites shareholders,Times of India,Executive Misconduct,Nikkei 225,,44.31,Positive,Transportation,Medium,Ford Motor Company,,energy company's dividend hike excites shareholders,14,Governance,1,1,2025,1.0
2851,2851,2851,2851,2851,2025-08-08,Central bank maintains status quo on interest rates,Bloomberg,Regulatory Compliance Failure,Russell 2000,,238.68,Neutral,Automotive,Medium,Exxon Mobil,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,central bank maintains status quo on interest rates,14,Governance,1,1,2025,0.0
2852,2852,2852,2852,2852,2025-07-08,Banking stocks dip after a major scandal is revealed,Forbes,Regulatory Compliance Failure,IBOVESPA,-0.31,178.44,Negative,Agriculture,Medium,Exxon Mobil,https://www.bloomberg.com/canada/tsunami-warnings,banking stocks dip after a major scandal is revealed,15,Governance,1,1,2025,-1.0
2853,2853,2853,2853,2853,2025-08-10,E-commerce earnings report beats all analyst expectations,The Economist,Accounting Fraud Investigation,NSE Nifty,-3.14,292.36,Positive,Retail,Low,Intel,https://www.bloomberg.com/australia/asx-200-performance,e commerce earnings report beats all analyst expectations,1,Governance,0,0,2025,1.0
2854,2854,2854,2854,2854,2025-06-25,Healthcare stocks gain on robust demand and strong outlook,Wall Street Journal,Executive Misconduct,DAX,-2.95,382.12,Positive,Real Estate,Low,Microsoft,https://www.investopedia.com/articles/supply-chain-disruption,healthcare stocks gain on robust demand and strong outlook,15,Governance,0,0,2025,1.0
2855,2855,2855,2855,2855,2025-03-04,Consumer Discretionary stocks outperform as spending increases,Financial Times,Regulatory Compliance Failure,Dow Jones,-0.94,1.22,Neutral,Automotive,Medium,General Motors,https://www.reuters.com/markets/stocks/tech-rally,consumer discretionary stocks outperform as spending increases,16,Governance,1,1,2025,0.0
2856,2856,2856,2856,2856,2025-05-27,ASX 200 gains on strong export performance,MarketWatch,Antitrust Investigation,KOSPI,-2.14,470.81,Neutral,Construction,Low,JPMorgan Chase,https://www.wsj.com/europe/regulatory-changes,asx 200 gains on strong export performance,5,Governance,0,0,2025,0.0
2857,2857,2857,2857,2857,2025-08-11,Aerospace and Defense sector sees rally amid geopolitical tensions,MarketWatch,Worker Strike,Nasdaq Composite,-1.44,196.51,Negative,Healthcare,High,Chevron Corporation,https://www.ft.com/content/consumer-confidence-report,aerospace and defense sector sees rally amid geopolitical tensions,8,Social,2,1,2025,-1.0
2858,2858,2858,2858,2858,2025-05-19,Nikkei 225 index benefits from a weaker yen,Wall Street Journal,Executive Misconduct,Russell 2000,1.41,467.1,Positive,Healthcare,Medium,Lockheed Martin,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,nikkei 225 index benefits from a weaker yen,7,Governance,1,1,2025,1.0
2859,2859,2859,2859,2859,2025-04-05,Mining company stock surges on commodity price boom,Forbes,Antitrust Investigation,S&P/TSX Composite,-4.57,365.93,Negative,Telecommunications,Medium,JPMorgan Chase,https://www.investopedia.com/articles/government-policy-announcement,mining company stock surges on commodity price boom,18,Governance,1,1,2025,-1.0
2860,2860,2860,2860,2860,2025-05-19,Geopolitical ceasefire prompts a broad market recovery,Mint,Antitrust Investigation,Nasdaq Composite,-1.73,339.17,Negative,Consumer Goods,High,Bank of America,https://www.reuters.com/markets/indices/nikkei-225,geopolitical ceasefire prompts a broad market recovery,9,Governance,2,1,2025,-1.0
2861,2861,2861,2861,2861,2025-02-06,Central Bank's dovish tone hints at future rate cuts,MarketWatch,Antitrust Investigation,Nikkei 225,,272.7,Negative,Utilities,Low,Chevron Corporation,https://www.cnbc.com/2025/12/healthcare-sector-outlook,central bank's dovish tone hints at future rate cuts,15,Governance,0,0,2025,-1.0
2862,2862,2862,2862,2862,2025-07-17,Government policy shift boosts renewable energy sector,Yahoo Finance,Executive Misconduct,NSE Nifty,0.4,428.68,Negative,Technology,High,Exxon Mobil,https://www.marketwatch.com/story/commodities-price-shock,government policy shift boosts renewable energy sector,4,Governance,2,1,2025,-1.0
2863,2863,2863,2863,2863,2025-08-10,Manufacturing PMI data signals economic expansion,Forbes,Antitrust Investigation,IBOVESPA,-1.92,257.4,Positive,Media & Entertainment,Low,Bank of America,https://www.bloomberg.com/asia/policy/central-bank-meeting,manufacturing pmi data signals economic expansion,10,Governance,0,0,2025,1.0
2864,2864,2864,2864,2864,2025-03-05,Central Bank Governor signals potential shift in policy,Wall Street Journal,Executive Misconduct,TSX,-4.11,393.04,Negative,Energy,High,Microsoft,https://www.moneycontrol.com/us-markets/nasdaq-composite,central bank governor signals potential shift in policy,10,Governance,2,1,2025,-1.0
2865,2865,2865,2865,2865,2025-05-08,Banking stocks dip after a major scandal is revealed,Wall Street Journal,Executive Misconduct,DAX,2.0,66.63,Negative,Technology,High,General Motors,https://economictimes.indiatimes.com/news/transportation,banking stocks dip after a major scandal is revealed,6,Governance,2,1,2025,-1.0
2866,2866,2866,2866,2866,2025-04-23,New IPO for a popular software firm is oversubscribed,Wall Street Journal,Regulatory Compliance Failure,Russell 2000,2.16,204.34,Neutral,Consumer Goods,Medium,Exxon Mobil,https://www.moneycontrol.com/us-markets/dow-jones-industrial,new ipo for a popular software firm is oversubscribed,4,Governance,1,1,2025,0.0
2867,2867,2867,2867,2867,2025-04-22,Bond yields tumble as investors seek safe havens,Reuters,Antitrust Investigation,Nasdaq Composite,-4.26,108.69,Neutral,Automotive,Low,Intel,https://www.business-standard.com/economy/inflation-data,bond yields tumble as investors seek safe havens,10,Governance,0,0,2025,0.0
2868,2868,2868,2868,2868,2025-05-18,Geopolitical ceasefire prompts a broad market recovery,Yahoo Finance,Product Safety Recall,TSX,0.44,477.28,Negative,Technology,High,Bank of America,https://economictimes.indiatimes.com/news/economy/unemployment-rate,geopolitical ceasefire prompts a broad market recovery,8,Social,2,1,2025,-1.0
2869,2869,2869,2869,2869,2025-05-17,Automotive industry faces headwinds from rising material costs,CNBC,Regulatory Compliance Failure,S&P 500,-1.04,89.99,Neutral,Construction,Medium,Intel,https://www.wsj.com/europe/dax-performance,automotive industry faces headwinds from rising material costs,14,Governance,1,1,2025,0.0
2870,2870,2870,2870,2870,2025-05-23,Retail sales report surpasses all forecasts,Bloomberg,Antitrust Investigation,Shanghai Composite,2.2,48.44,Negative,Energy,High,Chevron Corporation,https://economictimes.indiatimes.com/industry/industrials,retail sales report surpasses all forecasts,18,Governance,2,1,2025,-1.0
2871,2871,2871,2871,2871,2025-03-14,Healthcare stocks gain on robust demand and strong outlook,The Motley Fool,Antitrust Investigation,Dow Jones,-0.68,212.41,Neutral,Utilities,Low,Bank of America,https://www.wsj.com/japan/economic-data-release,healthcare stocks gain on robust demand and strong outlook,11,Governance,0,0,2025,0.0
2872,2872,2872,2872,2872,2025-03-15,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Economist,Executive Misconduct,Nikkei 225,-0.63,443.12,Neutral,Transportation,Low,Ford Motor Company,https://www.theeconomist.com/world/government-policy-announcement,major technology firm acquires a smaller rival in a multi billion dollar deal,6,Governance,0,0,2025,0.0
2873,2873,2873,2873,2873,2025-03-24,Retail sales report surpasses all forecasts,The Motley Fool,Product Safety Recall,Hang Seng,2.18,157.21,Negative,Real Estate,High,JPMorgan Chase,https://www.reuters.com/markets/indices/nikkei-225,retail sales report surpasses all forecasts,17,Social,2,1,2025,-1.0
2874,2874,2874,2874,2874,2025-04-30,Consumer confidence index reaches a decade high,Mint,Accounting Fraud Investigation,KOSPI,-3.43,387.72,Positive,Technology,Low,Bank of America,https://www.business-standard.com/economy/inflation-data,consumer confidence index reaches a decade high,15,Governance,0,0,2025,1.0
2875,2875,2875,2875,2875,2025-07-07,Government subsidy program gives a lift to the agriculture sector,The Hindu Business Line,Regulatory Compliance Failure,TSX,3.47,24.29,Positive,Materials,Medium,Bank of America,https://www.investopedia.com/articles/government-policy-announcement,government subsidy program gives a lift to the agriculture sector,13,Governance,1,1,2025,1.0
2876,2876,2876,2876,2876,2025-07-17,"Global trade talks collapse, causing market turmoil",The Hindu Business Line,Accounting Fraud Investigation,Euro Stoxx 50,-0.06,315.77,,Agriculture,Low,Intel,https://www.business-standard.com/economy/trade-disputes-impact,"global trade talks collapse, causing market turmoil",7,Governance,0,0,2025,
2877,2877,2877,2877,2877,2025-05-18,Unexpected rise in unemployment fuels market pessimism,MarketWatch,Regulatory Compliance Failure,Nikkei 225,-0.72,442.16,Neutral,Finance,Low,Chevron Corporation,https://www.moneycontrol.com/us-markets/dow-jones-industrial,unexpected rise in unemployment fuels market pessimism,16,Governance,0,0,2025,0.0
2878,2878,2878,2878,2878,2025-04-30,Aerospace and Defense sector sees rally amid geopolitical tensions,Forbes,Executive Misconduct,S&P/TSX Composite,-4.86,173.85,Negative,Industrials,Low,JPMorgan Chase,https://www.reuters.com/business/retail-sector-earnings,aerospace and defense sector sees rally amid geopolitical tensions,10,Governance,0,0,2025,-1.0
2879,2879,2879,2879,2879,2025-08-13,New IPO for a popular software firm is oversubscribed,Forbes,Regulatory Compliance Failure,Euro Stoxx 50,1.23,91.39,Negative,Aerospace & Defense,High,Apple Inc.,https://www.marketwatch.com/story/commodities-price-shock,new ipo for a popular software firm is oversubscribed,4,Governance,2,1,2025,-1.0
2880,2880,2880,2880,2880,2025-02-07,UK's FTSE 100 sees a boost from favorable trade data,Mint,Antitrust Investigation,FTSE 100,-3.86,272.62,Negative,Consumer Goods,Medium,Intel,https://www.business-standard.com/economy/economic-stimulus,uk's ftse 100 sees a boost from favorable trade data,18,Governance,1,1,2025,-1.0
2881,2881,2881,2881,2881,2025-07-03,Aerospace and Defense sector sees rally amid geopolitical tensions,Seeking Alpha,Labor Rights Violation,NSE Nifty,0.32,76.5,Positive,Materials,Medium,Intel,https://timesofindia.indiatimes.com/business/corporate-governance,aerospace and defense sector sees rally amid geopolitical tensions,3,Social,1,1,2025,1.0
2882,2882,2882,2882,2882,2025-05-02,Financial services stocks rally on strong profit margins,Yahoo Finance,Accounting Fraud Investigation,Nasdaq Composite,4.19,124.55,Negative,Pharmaceuticals,Low,Ford Motor Company,https://www.business-standard.com/economy/trade-disputes-impact,financial services stocks rally on strong profit margins,11,Governance,0,0,2025,-1.0
2883,2883,2883,2883,2883,2025-06-14,Dow Jones plunges as market fears recession,Mint,Accounting Fraud Investigation,Russell 2000,-0.98,121.99,Negative,Utilities,High,Ford Motor Company,https://www.forbes.com/crypto/cryptocurrency-regulation,dow jones plunges as market fears recession,1,Governance,2,1,2025,-1.0
2884,2884,2884,2884,2884,2025-02-22,Financial sector bracing for new capital requirements,CNBC,Executive Misconduct,FTSE 100,-0.67,57.04,Negative,Retail,High,Chevron Corporation,https://www.cnbc.com/2025/12/healthcare-sector-outlook,financial sector bracing for new capital requirements,5,Governance,2,1,2025,-1.0
2885,2885,2885,2885,2885,2025-07-27,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Hindu Business Line,Executive Misconduct,DAX,-3.03,464.47,Neutral,Industrials,Low,Microsoft,,major technology firm acquires a smaller rival in a multi billion dollar deal,12,Governance,0,0,2025,0.0
2886,2886,2886,2886,2886,2025-05-10,,The Hindu Business Line,Human Rights Allegation,IBOVESPA,1.38,439.23,Neutral,Automotive,Medium,General Motors,https://www.investopedia.com/articles/government-policy-announcement,,3,Social,1,1,2025,0.0
2887,2887,2887,2887,2887,2025-03-12,Federal Reserve Chairman's speech causes market volatility,Bloomberg,Regulatory Compliance Failure,TSX,4.66,363.54,Negative,Real Estate,High,Microsoft,https://www.ft.com/content/media-entertainment-merger,federal reserve chairman's speech causes market volatility,9,Governance,2,1,2025,-1.0
2888,2888,2888,2888,2888,2025-07-17,Government subsidy program gives a lift to the agriculture sector,CNBC,Executive Misconduct,Nasdaq Composite,3.81,29.86,Negative,Healthcare,High,Bank of America,https://www.ft.com/content/currency-devaluation,government subsidy program gives a lift to the agriculture sector,13,Governance,2,1,2025,-1.0
2889,2889,2889,2889,2889,2025-06-09,Massive stock buyback program announced by a consumer goods company,Reuters,Antitrust Investigation,S&P 500,-0.94,471.01,Negative,Technology,High,Ford Motor Company,https://www.ft.com/content/currency-devaluation,massive stock buyback program announced by a consumer goods company,4,Governance,2,1,2025,-1.0
2890,2890,2890,2890,2890,2025-03-04,Automotive industry faces headwinds from rising material costs,The Motley Fool,Accounting Fraud Investigation,DAX,3.43,473.52,Negative,Industrials,Medium,Intel,https://economictimes.indiatimes.com/industry/industrials,automotive industry faces headwinds from rising material costs,18,Governance,1,1,2025,-1.0
2891,2891,2891,2891,2891,2025-05-02,,Wall Street Journal,Executive Misconduct,TSX,2.86,111.97,Negative,Materials,Low,Intel,https://www.business-standard.com/economy/economic-stimulus,,0,Governance,0,0,2025,-1.0
2892,2892,2892,2892,2892,2025-06-21,Consumer confidence index reaches a decade high,Reuters,Accounting Fraud Investigation,BSE Sensex,-0.19,167.42,Negative,Agriculture,High,Microsoft,https://www.ft.com/content/consumer-confidence-report,consumer confidence index reaches a decade high,5,Governance,2,1,2025,-1.0
2893,2893,2893,2893,2893,2025-06-27,Financial sector bracing for new capital requirements,Economic Times,Labor Rights Violation,Nikkei 225,0.14,294.45,Neutral,Materials,Low,Chevron Corporation,https://economictimes.indiatimes.com/industry/industrials,financial sector bracing for new capital requirements,17,Social,0,0,2025,0.0
2894,2894,2894,2894,2894,2025-08-01,Mining company stock surges on commodity price boom,Yahoo Finance,Carbon Emissions Violation,KOSPI,3.11,293.95,Neutral,Utilities,Low,Exxon Mobil,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,mining company stock surges on commodity price boom,2,Environmental,0,0,2025,0.0
2895,2895,2895,2895,2895,2025-03-10,Supply chain issues impact manufacturing sector earnings,Economic Times,Antitrust Investigation,DAX,-1.87,214.15,Positive,Consumer Goods,Low,JPMorgan Chase,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,supply chain issues impact manufacturing sector earnings,15,Governance,0,0,2025,1.0
2896,2896,2896,2896,2896,2025-05-19,Unexpected rise in unemployment fuels market pessimism,Forbes,Climate Regulation Breach,Russell 2000,0.35,341.17,Negative,Healthcare,High,Bank of America,https://www.forbes.com/finance/geopolitical-event-impact,unexpected rise in unemployment fuels market pessimism,2,Environmental,2,1,2025,-1.0
2897,2897,2897,2897,2897,2025-07-21,Consumer Discretionary stocks outperform as spending increases,Forbes,Worker Strike,Dow Jones,-2.18,344.72,Neutral,Materials,Low,Chevron Corporation,https://www.cnbc.com/2025/09/automotive-industry-trends,consumer discretionary stocks outperform as spending increases,3,Social,0,0,2025,0.0
2898,2898,2898,2898,2898,2025-06-29,Manufacturing PMI data signals economic expansion,Forbes,Accounting Fraud Investigation,TSX,4.68,75.45,Positive,Telecommunications,Low,Lockheed Martin,https://www.reuters.com/markets/indices/ftse-100,manufacturing pmi data signals economic expansion,13,Governance,0,0,2025,1.0
2899,2899,2899,2899,2899,2025-03-23,,Investopedia,Labor Rights Violation,ASX 200,-0.6,63.44,,Finance,Medium,Chevron Corporation,https://www.reuters.com/markets/indices/ftse-100,,17,Social,1,1,2025,
2900,2900,2900,2900,2900,2025-04-03,E-commerce earnings report beats all analyst expectations,The Economist,Accounting Fraud Investigation,KOSPI,-3.02,101.73,Negative,Materials,High,Chevron Corporation,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,e commerce earnings report beats all analyst expectations,11,Governance,2,1,2025,-1.0
2901,2901,2901,2901,2901,2025-04-15,Real Estate sector shows signs of overheating as interest rates fall,Investopedia,Executive Misconduct,DAX,-2.17,454.89,Positive,Aerospace & Defense,Medium,Intel,https://www.marketwatch.com/story/consumer-goods-report,real estate sector shows signs of overheating as interest rates fall,18,Governance,1,1,2025,1.0
2902,2902,2902,2902,2902,2025-04-11,Central Bank Governor signals potential shift in policy,Times of India,Carbon Emissions Violation,Nasdaq Composite,-0.97,369.19,Negative,Energy,High,Ford Motor Company,,central bank governor signals potential shift in policy,2,Environmental,2,1,2025,-1.0
2903,2903,2903,2903,2903,2025-02-24,Market braces for a major policy announcement from the EU,Forbes,Regulatory Compliance Failure,CAC 40,-2.96,331.41,Negative,Real Estate,Medium,Chevron Corporation,https://www.wsj.com/china/market-regulation,market braces for a major policy announcement from the eu,7,Governance,1,1,2025,-1.0
2904,2904,2904,2904,2904,2025-03-31,Aerospace and Defense sector sees rally amid geopolitical tensions,Forbes,Antitrust Investigation,IBOVESPA,-1.44,208.5,Positive,Real Estate,Medium,Exxon Mobil,https://www.bloomberg.com/australia/asx-200-performance,aerospace and defense sector sees rally amid geopolitical tensions,4,Governance,1,1,2025,1.0
2905,2905,2905,2905,2905,2025-03-21,Manufacturing PMI data signals economic expansion,Times of India,Accounting Fraud Investigation,Hang Seng,,35.19,Neutral,Consumer Goods,Low,Lockheed Martin,https://www.theeconomist.com/finance-and-economics/trade-tariffs,manufacturing pmi data signals economic expansion,14,Governance,0,0,2025,0.0
2906,2906,2906,2906,2906,2025-08-12,Utilities sector remains stable during market fluctuations,MarketWatch,Executive Misconduct,Russell 2000,0.49,24.27,Positive,Energy,Low,Chevron Corporation,https://www.moneycontrol.com/us-markets/sp-500,utilities sector remains stable during market fluctuations,15,Governance,0,0,2025,1.0
2907,2907,2907,2907,2907,2025-04-03,A massive data breach sends a tech company's stock tumbling,Seeking Alpha,Regulatory Compliance Failure,Dow Jones,-1.18,331.91,Negative,Automotive,High,Bank of America,https://www.bloomberg.com/canada/tsunami-warnings,a massive data breach sends a tech company's stock tumbling,1,Governance,2,1,2025,-1.0
2908,2908,2908,2908,2908,2025-06-30,Massive stock buyback program announced by a consumer goods company,Seeking Alpha,Labor Rights Violation,Dow Jones,-1.3,24.46,Negative,Pharmaceuticals,High,Lockheed Martin,https://www.wsj.com/china/market-regulation,massive stock buyback program announced by a consumer goods company,19,Social,2,1,2025,-1.0
2909,2909,2909,2909,2909,2025-06-29,China's Shanghai Composite falls after new trade restrictions,Times of India,Executive Misconduct,DAX,2.97,236.26,Negative,Automotive,Low,Bank of America,https://www.cnbc.com/2025/11/major-merger-deal-approved,china's shanghai composite falls after new trade restrictions,6,Governance,0,0,2025,-1.0
2910,2910,2910,2910,2910,2025-04-12,Energy company's dividend hike excites shareholders,Reuters,Antitrust Investigation,Shanghai Composite,2.71,204.29,Negative,Transportation,High,General Motors,https://economictimes.indiatimes.com/industry/industrials,energy company's dividend hike excites shareholders,14,Governance,2,1,2025,-1.0
2911,2911,2911,2911,2911,2025-08-02,Major oil spill sends energy stocks plummeting,The Motley Fool,Human Rights Allegation,NSE Nifty,2.74,263.38,Positive,Construction,Low,Lockheed Martin,https://www.wsj.com/europe/regulatory-changes,major oil spill sends energy stocks plummeting,3,Social,0,0,2025,1.0
2912,2912,2912,2912,2912,2025-04-06,,Financial Times,Executive Misconduct,KOSPI,0.23,255.89,Negative,Materials,High,Microsoft,https://www.reuters.com/business/energy/oil-market-update,,6,Governance,2,1,2025,-1.0
2913,2913,2913,2913,2913,2025-06-05,Record-high inflation data rattles investors,Financial Times,Worker Strike,Hang Seng,3.99,193.51,Negative,Pharmaceuticals,High,Bank of America,https://www.marketwatch.com/story/commodities-price-shock,record high inflation data rattles investors,19,Social,2,1,2025,-1.0
2914,2914,2914,2914,2914,2025-07-20,Healthcare stocks gain on robust demand and strong outlook,Reuters,Antitrust Investigation,Hang Seng,0.13,404.83,Negative,Utilities,High,Intel,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,healthcare stocks gain on robust demand and strong outlook,16,Governance,2,1,2025,-1.0
2915,2915,2915,2915,2915,2025-07-15,Manufacturing PMI data signals economic expansion,Forbes,Accounting Fraud Investigation,BSE Sensex,1.03,371.82,Neutral,Retail,Medium,Apple Inc.,https://www.investopedia.com/articles/government-policy-announcement,manufacturing pmi data signals economic expansion,18,Governance,1,1,2025,0.0
2916,2916,2916,2916,2916,2025-08-01,Geopolitical ceasefire prompts a broad market recovery,Mint,Regulatory Compliance Failure,Euro Stoxx 50,-1.53,103.98,Positive,Construction,Medium,Lockheed Martin,https://economictimes.indiatimes.com/news/economy/unemployment-rate,geopolitical ceasefire prompts a broad market recovery,18,Governance,1,1,2025,1.0
2917,2917,2917,2917,2917,2025-05-10,UK's FTSE 100 sees a boost from favorable trade data,Business Standard,Human Rights Allegation,Shanghai Composite,-1.22,157.77,Negative,Utilities,Low,Exxon Mobil,https://www.ft.com/content/geopolitical-summit,uk's ftse 100 sees a boost from favorable trade data,8,Social,0,0,2025,-1.0
2918,2918,2918,2918,2918,2025-05-03,Semiconductor shortages weigh heavily on tech sector profits,Bloomberg,Human Rights Allegation,IBOVESPA,3.88,174.43,Negative,Automotive,High,Microsoft,https://www.bloomberg.com/asia/telecommunications-news,semiconductor shortages weigh heavily on tech sector profits,8,Social,2,1,2025,-1.0
2919,2919,2919,2919,2919,2025-08-14,Consumer Discretionary stocks outperform as spending increases,Financial Times,Executive Misconduct,Hang Seng,3.77,134.13,Negative,Industrials,High,Exxon Mobil,,consumer discretionary stocks outperform as spending increases,1,Governance,2,1,2025,-1.0
2920,2920,2920,2920,2920,2025-03-14,Automotive industry faces headwinds from rising material costs,Reuters,Executive Misconduct,FTSE 100,-2.85,84.64,Negative,Materials,High,Apple Inc.,https://www.ft.com/content/media-entertainment-merger,automotive industry faces headwinds from rising material costs,14,Governance,2,1,2025,-1.0
2921,2921,2921,2921,2921,2025-03-03,Nikkei 225 index benefits from a weaker yen,Times of India,Water Pollution Incident,Dow Jones,3.64,141.52,Negative,Agriculture,High,Intel,https://economictimes.indiatimes.com/news/economy/unemployment-rate,nikkei 225 index benefits from a weaker yen,2,Environmental,2,1,2025,-1.0
2922,2922,2922,2922,2922,2025-05-27,Central Bank Governor signals potential shift in policy,Reuters,Regulatory Compliance Failure,NSE Nifty,-2.92,484.89,Negative,Healthcare,High,Ford Motor Company,https://www.reuters.com/markets/indices/ftse-100,central bank governor signals potential shift in policy,18,Governance,2,1,2025,-1.0
